id;nombre;descripcion;ingredientes;precio
25;Bistec a la Parrilla;Un filete de carne de res jugoso y tierno, marinado y luego a la parrilla a la perfección.;Bistec de carne de res, sal, pimienta, hierbas secas (opcional), aceite de oliva.;17000
26;Carne Asada;Filete de carne (generalmente de res) marinado y asado a la parrilla o en el horno.;Filete de carne (res), marinada (aceite de oliva, ajo, limón, cilantro, etc.), sal, pimienta.;20000
27;Fideos Ramen;Fideos japoneses servidos en un caldo caliente, acompañados de diferentes guarniciones como cerdo, huevo, cebolla verde y alga nori.;Fideos ramen, caldo de huesos de cerdo o pollo, cerdo cocido o chashu, huevo cocido, cebolla verde, alga nori, brotes de bambú, maíz, pasta miso (opcional).;18000
28;Moussaka;Un plato griego similar a lasaña, hecho con capas de berenjenas, carne picada (generalmente cordero), salsa de tomate y bechamel.;Berenjenas, carne picada de cordero o res, cebolla, ajo, tomates, salsa de tomate, harina, leche, mantequilla, queso rallado, nuez moscada.;18000
29;Pollo a la Naranja;Trozos de pollo marinados y cocidos en una salsa dulce y picante de naranja, servidos con arroz blanco.;Pollo, jugo de naranja, salsa de soja, miel, jengibre, ajo, almidón de maíz, arroz blanco.;17000
30;Pescado a la Parrilla;Filetes de pescado sazonados y cocidos a la parrilla hasta que estén tiernos y dorados, servidos con una guarnición de vegetales;Filetes de pescado (como salmón, lubina o trucha), aceite de oliva, sal, pimienta, limón, vegetales para acompañar (zanahorias, brócoli, espárragos, etc.).;13000
31;Shawarma;Carne marinada, generalmente cordero, pollo o ternera, asada verticalmente y luego rebanada finamente, servida en pan de pita con ensaladas y salsas.;Carne de cordero, pollo o ternera, yogur, limón, ajo, comino, pimienta, pan de pita, lechuga, tomate, cebolla, tahini, salsa de yogur.;5000
32;Chili con Carne;Un guiso picante de carne molida, frijoles, tomates y especias, servido tradicionalmente con arroz o pan de maíz.;Carne molida de res, frijoles rojos, tomates, cebolla, pimiento, ajo, chiles, comino, orégano, caldo de carne, sal, pimienta.;20000
33;Dim Sum;Una variedad de bocados chinos pequeños y sabrosos, que pueden incluir dumplings, bollos al vapor, rollos de primavera y más.;Varían según el tipo de dim sum, pero pueden incluir carne de cerdo, camarones, cangrejo, vegetales, masa de harina de trigo o arroz, condimentos y salsas.;13000
34;Tarta de Manzana;Una tarta dulce hecha con una base de masa quebrada, rellena de manzanas cortadas y sazonadas con canela y azúcar.;Masa quebrada, manzanas, azúcar, canela, harina, mantequilla, huevo (para barnizar).;19000
35;Camarones al Ajillo;Camarones salteados en aceite de oliva con ajo picado, perejil y chiles rojos, servidos con pan para mojar en la deliciosa salsa.;Camarones, aceite de oliva, ajo, perejil, chiles rojos secos, sal, pimienta.;5000
36;Kebab;Trozos de carne (generalmente cordero, pollo o ternera) marinados y asados en un pincho, servidos en pan pita con verduras y salsas.;Carne marinada, pan de pita, lechuga, tomate, cebolla, pepino, salsas (tahini, salsa de yogur, etc.).;19000
37;Fajitas;Tiras de carne (generalmente pollo, ternera o cerdo) salteadas con pimientos y cebollas, servidas en tortillas de harina con acompañamientos como queso, guacamole y crema agria.;Carne (pollo, ternera, cerdo), pimientos, cebollas, tortillas de harina, queso, guacamole, crema agria, condimentos (comino, chile en polvo, etc.).;5000
38;Bacalao al Pil Pil;Un plato español en el que el bacalao se cocina lentamente en aceite de oliva con ajo, creando una salsa emulsionada.;Bacalao, aceite de oliva, ajo, guindilla (opcional).;19000
39;Arroz con Pollo;Un plato de arroz cocido con trozos de pollo, verduras y especias, típico de muchas cocinas del mundo.;Arroz, pollo, cebolla, pimiento, ajo, guisantes, zanahoria, caldo de pollo, azafrán, sal, pimienta.;8000
40;Tortilla Española;Un plato español clásico hecho con huevos batidos y papas fritas, cocido en una sartén hasta que esté dorado por fuera y tierno por dentro.;Huevos, papas, cebolla, aceite de oliva, sal.;11000
41;Chiles Rellenos;Chile poblano asado y pelado, relleno de queso o una mezcla de carne molida, arroz y especias, luego frito o horneado.;Chile poblano, queso, carne molida, arroz, tomates, cebolla, ajo, especias.;20000
42;Pasta Primavera;Pasta italiana con una variedad de verduras de temporada, como zanahorias, calabacines, tomates cherry y espárragos, en una salsa ligera.;Pasta, zanahorias, calabacines, tomates cherry, espárragos, ajo, aceite de oliva, hierbas frescas (albahaca, perejil), queso parmesano (opcional).;17000
43;Pollo Teriyaki;Trozos de pollo marinados en salsa teriyaki (a base de salsa de soja, mirin y azúcar), luego asados o salteados.;Pollo, salsa de soja, mirin, sake (opcional), azúcar, ajo, jengibre, aceite de sésamo, semillas de sésamo (para decorar).;16000
44;Poutine;Un plato canadiense que consiste en papas fritas cubiertas con queso en trozos y cubiertas con salsa de carne.;Papas, queso en trozos (tradicionalmente queso en grano), salsa de carne (generalmente salsa gravy).;5000
45;Tamales;Maíz molido mezclado con manteca de cerdo, relleno de carne, pollo, queso o frijoles, envuelto en hojas de maíz y cocido al vapor.;Masa de maíz, manteca de cerdo, relleno (carne, pollo, queso, frijoles), hojas de maíz.;11000
46;Pastrami Sandwich;Rebanadas de carne de vacuno pastrami entre rebanadas de pan, a menudo con mostaza y pepinillos.;Carne de vacuno pastrami, pan, mostaza, pepinillos.;5000
47;Pollo a la Parmesana;Filete de pollo empanizado, cubierto con salsa de tomate y queso mozzarella, gratinado al horno.;Pechuga de pollo, pan rallado, queso parmesano, huevos, salsa de tomate, queso mozzarella.;8000
48;Ratatouille;Un guiso francés de vegetales como berenjena, calabacín, tomates y pimientos, cocidos lentamente con hierbas provenzales.;Berenjena, calabacín, tomates, pimientos, cebolla, ajo, aceite de oliva, hierbas provenzales (tomillo, orégano, albahaca), sal, pimienta.;18000
49;Salmón al Horno;Filete de salmón sazonado y horneado hasta que esté tierno y escamoso.;Filete de salmón, aceite de oliva, sal, pimienta, hierbas (opcional), rodajas de limón (para decorar).;18000
50;Gyros;"Rodajas finas de ""carne"" vegana o de tofu sazonadas con especias griegas, servidas en pan pita con vegetales y salsa de yogur (opcional).";"""Carne"" vegana o tofu, especias griegas (orégano, comino, pimienta, etc.), pan pita, lechuga, tomate, cebolla, salsa de yogur (opcional).";4000
51;Pollo Tikka Masala;Trozos de pollo marinados y cocidos en una salsa cremosa de tomate, yogur y especias indias.;Pollo, yogur, tomates, cebolla, ajo, jengibre, chiles, especias garam masala (cúrcuma, comino, cilantro, etc.), crema, cilantro fresco.;19000
52;Empanadas;Pastelitos de masa rellenos de carne, pollo, queso o verduras, horneados o fritos.;Masa para empanadas (harina, manteca, agua, sal), relleno (carne, pollo, queso, cebolla, especias).;10000
53;Fideuà;Un plato similar a la paella, pero hecho con fideos en lugar de arroz, generalmente con mariscos y vegetales.;Fideos, caldo de pescado, mariscos (gambas, mejillones, calamares), pimientos, cebolla, ajo, tomate, azafrán, aceite de oliva.;8000
54;Tortellini;Pasta fresca en forma de pequeños sombreros rellenos de carne, queso o espinacas.;Masa de pasta (harina, huevos, agua, sal), relleno (carne, queso, espinacas), salsa (salsa de tomate, crema, mantequilla y salvia).;14000
55;Tom Yum;Una sopa picante y ácida de la cocina tailandesa, generalmente hecha con camarones, setas y hierbas aromáticas.;Caldo de pollo o de camarón, limoncillo, galanga, hojas de lima kaffir, chiles, camarones, setas, salsa de pescado, jugo de lima, cilantro.;8000
56;Croquetas de Jamón;Bolitas fritas de masa de bechamel y jamón serrano.;Jamón serrano, harina, mantequilla, leche, pan rallado, huevo, aceite de oliva.;14000
57;Coq au Vin;Un guiso francés de pollo cocido en vino tinto con champiñones, cebollas y hierbas.;Pollo, vino tinto, champiñones, cebolla, ajo, zanahorias, caldo de pollo, tomillo, laurel.;16000
58;Arroz Frito;Arroz salteado en un wok con vegetales, huevos y trozos de carne (opcional), sazonado con salsa de soja.;Arroz cocido, vegetales (guisantes, zanahorias, cebollas), huevos, carne (opcional), salsa de soja, aceite de sésamo.;12000
59;Biryani;Un plato de arroz aromático de origen indio, cocido con especias, carne (generalmente pollo o cordero) y a menudo se complementa con frutos secos y hierbas frescas.;Arroz basmati, pollo o cordero, cebolla, yogur, tomates, jengibre, ajo, especias (cúrcuma, comino, canela, clavo de olor), frutos secos (almendras, pasas), cilantro fresco.;4000
60;Falafel;Bolitas fritas de garbanzos o habas sazonadas con especias, servidas generalmente en pan de pita con ensalada y salsa tahini.;Garbanzos, cilantro, perejil, cebolla, ajo, comino, cilantro en polvo, harina de garbanzo, aceite para freír.;15000
61;Goulash;Un guiso húngaro rico y reconfortante hecho con carne (tradicionalmente de res), cebollas, pimientos y paprika, servido con pan o pasta.;Carne de res, cebolla, pimientos, tomate, pimentón ahumado, caldo de carne, aceite de oliva, sal, pimienta.;11000
62;Ravioli;Pasta rellena de forma cuadrada u ovalada, tradicionalmente rellena de queso, carne o espinacas;Masa de pasta (harina, huevos, sal), relleno (queso ricotta, espinacas, carne, etc.), salsa (salsa de tomate, salsa de crema, etc.).;13000
63;Tempura;Vegetales o mariscos enharinados y fritos brevemente en aceite, un plato japonés popular.;Vegetales (brotes de brócoli, pimientos, calabacín), camarones o pescado blanco, harina de tempura, agua fría, aceite para freír.;5000
64;Churrasco;Tiras de carne asadas a la parrilla, especialmente populares en América Latina.;Carne (generalmente carne de res), sal, pimienta, adobo (opcional).;8000
65;Sopa de Cebolla;Una sopa francesa reconfortante y rica, hecha con cebollas caramelizadas, caldo de carne y vino blanco, cubierto con pan y queso gratinado.;Cebollas, caldo de carne, vino blanco, mantequilla, harina, pan, queso Gruyère.;9000
66;Estofado de Ternera;Un guiso lento de carne de ternera cocida con vegetales en un rico caldo.;Carne de ternera, cebolla, zanahoria, apio, caldo de carne, vino tinto, tomates, hierbas (tomillo, laurel), aceite de oliva.;20000
67;Pollo Katsu;Filete de pechuga de pollo empanizado, frito y cortado en rebanadas, servido con salsa de curry o salsa tonkatsu.;Pechuga de pollo, pan rallado, harina, huevo, aceite para freír, salsa de curry o salsa tonkatsu.;19000
68;Paella Valenciana;Una paella española clásica que incluye pollo, conejo y a menudo mariscos, cocidos con arroz y especias.;Arroz bomba, pollo, conejo, judías verdes, tomates, azafrán, caldo de pollo o pescado, aceite de oliva.;12000
69;Frittata; Una especie de tortilla italiana hecha con huevos batidos y diversos ingredientes como verduras, queso, carne o mariscos.;Huevos, verduras (pimientos, cebollas, espinacas), queso (parmesano, mozzarella), carne o mariscos (opcional), aceite de oliva.;15000
70;Pescado en Papillote;Filetes de pescado cocidos al vapor en un paquete de papel de aluminio o pergamino, generalmente con vegetales y hierbas.;Filetes de pescado (como salmón o lubina), verduras (zanahorias, pimientos, calabacín), hierbas (tomillo, perejil), aceite de oliva, limón.;18000
71;Albóndigas;Bolas de masa cocidas y generalmente servidas en salsa, comúnmente hechas con carne, pero también hay versiones vegetarianas.;Carne molida (res, cerdo, pollo), cebolla, ajo, pan rallado, huevo, especias.;14000
72;Tiramisú;Un postre italiano hecho con capas de bizcochos de soletilla empapados en café y crema de mascarpone.;Bizcochos de soletilla, café espresso, queso mascarpone, huevos, azúcar, cacao en polvo.;9000
73;Kofta;Brochetas de carne picada sazonada y generalmente asada o a la parrilla, popular en la cocina del Medio Oriente y del sur de Asia.;Carne molida (cordero, res, pollo o pavo), cebolla, ajo, perejil, comino, cilantro, canela, nuez moscada, sal.;8000
74;Fish and Chips;Trozos de pescado empanizados y fritos, servidos con papas fritas, un plato clásico de la cocina británica.;Filetes de pescado blanco (merluza, bacalao), harina, levadura, cerveza (opcional), papas, aceite para freír.;18000
75;Pollo Marsala;Filetes de pollo cocidos en una salsa rica y cremosa de vino marsala, champiñones y hierbas.;Pechugas de pollo, champiñones, vino marsala, caldo de pollo, crema, harina, mantequilla, perejil.;14000
76;Jambalaya;Un plato de arroz picante de la cocina cajún y criolla de Luisiana, generalmente cocido con salchichas, pollo, mariscos y una variedad de vegetales.;Arroz, salchichas ahumadas, pollo, camarones o langostinos, tomates, pimientos, apio, cebolla, ajo, especias cajún.;5000
77;Asado;Un plato chileno de carne asada a la parrilla, típicamente servida con ensaladas y papas fritas.;Carne (como vacuno o cerdo), sal, pimienta, papas, vegetales para ensalada (lechuga, tomate, cebolla), aderezos (opcional).;15000
78;Huevo Ranchero;Huevos fritos sobre una tortilla de maíz con salsa de tomate y chiles, un desayuno tradicional mexicano.;Huevos, tortillas de maíz, salsa de tomate, chiles (jalapeños o serranos), cebolla, cilantro.;4000
79;Carpaccio;Finas láminas de carne cruda (generalmente de res) marinadas y servidas con aderezos como aceite de oliva, limón y queso parmesano.;Filete de res, aceite de oliva, jugo de limón, queso parmesano, rúcula (opcional), sal, pimienta.;14000
80;Ensalada César;Una ensalada clásica con lechuga romana, crutones, queso parmesano y aderezo César.;Lechuga romana, crutones, queso parmesano, aceite de oliva, ajo, mostaza Dijon, salsa Worcestershire, jugo de limón, anchoas (opcional), huevo, sal, pimienta.;12000
81;Sopa de Lentejas;Una sopa reconfortante hecha con lentejas cocidas, generalmente con verduras como zanahorias, cebollas y apio.;Lentejas, cebolla, zanahoria, apio, ajo, tomate, caldo de verduras, aceite de oliva, especias (comino, pimentón, laurel), sal, pimienta.;17000
82;Tagliatelle;Pasta larga y plana, similar a los fettuccine, originaria de la cocina italiana.;Harina de trigo, huevos, sal, agua (opcional para ajustar la consistencia de la masa).;16000
83;Torta de Chocolate;Un postre decadente hecho con una base de bizcocho de chocolate y cubierto con ganache de chocolate.;Harina de almendras, cacao en polvo, azúcar, huevos, mantequilla, chocolate negro, crema para batir, extracto de vainilla.;17000
84;Pastel de Choclo;Un pastel chileno hecho con una base de puré de maíz (choclo) y relleno con una mezcla de carne, pollo, cebolla y aceitunas (versión tradicional) o vegetales (versión vegana).;Maíz desgranado (choclo), cebolla, pimiento rojo, aceitunas (opcional), aceite de oliva, sal, azúcar, hojas de maíz para envolver.;13000
85;Estofado de Cordero;Un guiso sabroso hecho con carne de cordero cocida lentamente con vegetales en un caldo aromático.;Carne de cordero, cebolla, zanahoria, apio, tomate, caldo de cordero o de verduras, vino tinto (opcional), hierbas (romero, tomillo), aceite de oliva, sal, pimienta.;7000
86;Crepes Suzette;Crepes flambéados en una salsa de naranja y Grand Marnier, un clásico postre francés.;Crepes (harina, huevos, leche, mantequilla), naranjas, azúcar, mantequilla, Grand Marnier (u otro licor de naranja), ralladura de naranja.;6000
87;Pescado a la Veracruzana;Filetes de pescado cocidos en una salsa de tomate, aceitunas, alcaparras, chiles y hierbas, originaria de Veracruz, México.;Filetes de pescado (como huachinango o pargo), tomates, cebolla, ajo, chiles jalapeños, aceitunas, alcaparras, aceite de oliva, laurel, orégano, cilantro fresco.;5000
88;Pollo al Horno;Pechugas de pollo sazonadas y horneadas hasta que estén tiernas y doradas.;Pechugas de pollo, aceite de oliva, sal, pimienta, hierbas aromáticas (tomillo, romero, etc.).;16000
89;Samosas;Empanadillas fritas o al horno rellenas de una mezcla de verduras, papas y especias, típicas de la cocina india.;Masa para empanadillas (harina, agua, aceite, sal), relleno (papas, guisantes, zanahorias, cebolla, especias como comino, cúrcuma, garam masala), aceite para freír.;19000
90;Tacos de Pescado;Filetes de pescado empanizados y fritos, servidos en tortillas de maíz con aderezos como repollo rallado, salsa de crema y cilantro.;Filetes de pescado (como tilapia o mahi-mahi), harina de maíz, huevo, aceite para freír, tortillas de maíz, repollo rallado, salsa de crema, cilantro, limón.;8000
91;Carpaccio de Res;Finas láminas de carne de res cruda marinadas con aceite de oliva, jugo de limón, alcaparras y queso parmesano, servidas como aperitivo.;Hongos o setas marinadas y laminadas finamente, aceite de oliva, jugo de limón, alcaparras, queso vegano parmesano (opcional), rúcula (para servir).;15000
92;Fajitas de Pollo;Tiras de pollo marinadas y asadas, generalmente servidas con tiras de pimientos y cebollas en tortillas de harina.;Pollo, pimientos, cebolla, tortillas de harina, especias para fajitas (comino, pimentón, chile en polvo), aceite de oliva.;6000
93;Ensalada Caprese;Una ensalada italiana clásica hecha con tomates frescos, mozzarella de búfala, hojas de albahaca y aceite de oliva.;Tomates maduros, mozzarella de búfala (o queso vegano tipo mozzarella), hojas de albahaca fresca, aceite de oliva virgen extra, vinagre balsámico, sal, pimienta.;12000
94;Sopa Minestrone;Una sopa italiana rica y abundante llena de verduras, frijoles y pasta.;Caldo de verduras, tomates, zanahorias, apio, cebolla, judías verdes, judías blancas, pasta (como codos o espaguetis rotos), aceite de oliva, hierbas frescas (albahaca, perejil), sal, pimienta.;16000
95;Quiche Lorraine;Un pastel salado francés hecho con una masa de hojaldre rellena de una mezcla de huevos batidos, crema, tocino y queso.;Masa para quiche (harina, mantequilla, agua, sal), huevos, crema de leche (o alternativa vegana), tocino vegano (opcional), queso vegano rallado, sal, pimienta, nuez moscada.;7000
96;Carpaccio de Salmón;Finas láminas de salmón crudo marinadas con aceite de oliva, jugo de limón, eneldo y alcaparras, servidas como aperitivo.;Filete de salmón fresco, aceite de oliva, jugo de limón, eneldo fresco, alcaparras, rúcula (para servir).;9000
97;Pato Pekinés; Un plato chino de pato asado servido con panqueques finos, salsa hoisin, cebollino y pepino en juliana.;Pato, panqueques para pato pekinés (o tortillas de harina), salsa hoisin, cebollino, pepino, cebolla verde.;17000
98;Crema de Mariscos;Una sopa cremosa hecha con una variedad de mariscos como camarones, mejillones y calamares, cocidos en caldo de pescado con verduras.;Caldo de pescado, camarones, mejillones, calamares, cebolla, zanahoria, apio, patatas, leche de coco (o crema de coco), sal, pimienta.;7000
99;Filete Wellington;Un filete de ternera cubierto con foie gras (o un relleno vegetal), envuelto en hojaldre y horneado.;Filete de ternera, hojaldre (asegúrate de que sea vegano), foie gras vegano o un relleno vegetal como champiñones y espinacas, huevo batido (o alternativa vegana), sal, pimienta.;20000
100;Sushi de Salmón;Rollos de sushi rellenos de arroz de sushi y salmón crudo, envueltos en alga nori.;Arroz de sushi, filete de salmón fresco, alga nori, vinagre de arroz, azúcar, sal, salsa de soja (opcional), wasabi, jengibre encurtido.;12000
101;DCCHamburguer;Hamburguesa con palta, tomate, mayonesa, rica para pasar la hora de almuerzo;hamburguesa, palta, tomate, mayonesa;5000
102;Pasta Alfredo;Una pasta cremosa y reconfortante hecha con una salsa a base de mantequilla, crema y queso parmesano.;Pasta (como fettuccine), mantequilla, crema espesa, queso parmesano rallado, ajo, nuez moscada, perejil fresco, sal, pimienta.;19000
103;Ratatouille;Un guiso francés tradicionalmente hecho con una variedad de vegetales de verano como berenjenas, calabacines, tomates, pimientos y cebollas, cocidos lentamente en aceite de oliva con hierbas provenzales.;Berenjenas, calabacines, tomates, pimientos (rojos y verdes), cebollas, ajo, aceite de oliva, tomate triturado (o salsa de tomate), hierbas provenzales (tomillo, orégano, albahaca), sal, pimienta.;4000
104;Pollo a la Crema;Una receta clásica en la que los filetes de pollo se cocinan en una salsa cremosa y aromática, a menudo con champiñones y hierbas.;Pechugas de pollo, champiñones, cebolla, ajo, caldo de pollo, crema de leche, vino blanco (opcional), mantequilla, harina (para espesar la salsa), perejil, sal, pimienta.;9000
105;Pastel de Carne;Plato reconfortante, compuesto por una mezcla de carne picada sazonada y otros ingredientes;Carne picada (de res, cerdo, o una mezcla), cebolla, ajo, zanahoria, apio, perejil, pan rallado o migas de pan, huevo, leche, mostaza (opcional), salsa Worcestershire, sal y pimienta, aceite de oliva.;8000
106;Moussaka;Plato tradicional de la cocina griega, consistente en capas de berenjena, carne picada de cordero o res sazonada, cubierta con una salsa de tomate y bechamel, horneada hasta que esté dorada y burbujeante.;Berenjena, carne picada de cordero o res, salsa de tomate, bechamel, cebolla, ajo, aceite de oliva, sal y pimienta, orégano, queso rallado (opcional, para gratinar).;15000
107;Sándwich Cubano;Un clásico de la cocina caribeña, compuesto por capas de jamón, cerdo asado, queso suizo, pepinillos y mostaza, todo prensado entre dos rebanadas de pan cubano y tostado.;Jamón, cerdo asado, queso suizo, pepinillos, mostaza, pan cubano.;12000
108;Ensalada Griega;Ensalada fresca y saludable de la cocina griega, compuesta por pepino, tomate, cebolla roja, aceitunas kalamata, queso feta, aderezada con aceite de oliva, orégano y zumo de limón.;Pepino, tomate, cebolla roja, aceitunas kalamata, queso feta, aceite de oliva, orégano, zumo de limón.;4000
109;Carne en Salsa;Trozos de carne tierna cocidos lentamente en una salsa aromática y sabrosa, a menudo a base de tomate, cebolla, ajo, hierbas y especias.;Carne, tomate, cebolla, ajo, hierbas (laurel, tomillo, orégano), especias (pimienta, comino), caldo de carne, aceite de oliva, sal.;16000
110;Pescado en Salsa de Mantequilla;Pescado cocido en salsa cremosa de mantequilla con limón, ajo y hierbas frescas, como perejil, acompañado de verduras al vapor.;Filetes de pescado, mantequilla, limón, ajo, perejil fresco, sal y pimienta, verduras al vapor (opcional).;4000
111;Canelones;Plato italiano relleno de pasta de lasaña enrollada con carne picada, espinacas, ricotta, y cubierto con salsa de tomate y bechamel.;Pasta para canelones, carne picada, espinacas, ricotta, salsa de tomate, bechamel, queso rallado, ajo, cebolla, sal y pimienta.;19000
112;Sushi;Una selección de rollitos de sushi tradicionales japoneses, servidos con wasabi y jengibre encurtido.;Arroz de sushi, algas nori, pescado crudo (como salmón, atún o pez mantequilla), aguacate, pepino, cangrejo, vinagre de arroz, azúcar, sal;17000
113;Canelones;Plato italiano relleno de pasta de lasaña enrollada con carne picada, espinacas, ricotta, y cubierto con salsa de tomate y bechamel.;Pasta para canelones, carne picada, espinacas, ricotta, salsa de tomate, bechamel, queso rallado, ajo, cebolla, sal y pimienta.;19000
114;Canelones;Plato italiano relleno de pasta de lasaña enrollada con carne picada, espinacas, ricotta, y cubierto con salsa de tomate y bechamel.;Pasta para canelones, carne picada, espinacas, ricotta, salsa de tomate, bechamel, queso rallado, ajo, cebolla, sal y pimienta.;19000
115;Bistec a la Parrilla;Un filete de carne de res jugoso y tierno, marinado y luego a la parrilla a la perfección.;Bistec de carne de res, sal, pimienta, hierbas secas (opcional), aceite de oliva.;6000
116;Fideos Ramen;Fideos japoneses servidos en un caldo caliente, acompañados de diferentes guarniciones como cerdo, huevo, cebolla verde y alga nori.;Fideos ramen, caldo de huesos de cerdo o pollo, cerdo cocido o chashu, huevo cocido, cebolla verde, alga nori, brotes de bambú, maíz, pasta miso (opcional).;4000
